city,lon,lat,max_temp,humidity,clouds,wind,country,date
pangnirtung,-65.7125,66.1451,-20.71,99,100,1.77,CA,1676482968
kamaishi,141.8833,39.2667,-4.99,78,19,2.74,JP,1676482969
komsomolskiy,46.6985,43.9783,-0.43,96,100,3.26,RU,1676482969
nampula,39.2666,-15.1165,21.97,94,75,3.6,MZ,1676482969
bermeo,-2.7215,43.4209,16.44,73,0,1.6,ES,1676482745
aldan,125.3894,58.6031,-22.39,99,100,1.79,RU,1676482889
borovoy,86.0833,55.4333,-16.4,85,47,3.0,RU,1676482970
liberal,-100.921,37.0431,0.08,80,100,9.26,US,1676482971
wenzhou,120.6668,27.9994,7.14,63,0,0.94,CN,1676482930
akyab,92.9,20.15,19.44,58,0,3.32,MM,1676482971
kutum,24.6667,14.2,16.23,22,0,7.3,SD,1676482972
marrakesh,-8.0083,31.6315,9.04,87,75,2.57,MA,1676482972
sistranda,8.834,63.7256,3.98,69,97,6.83,NO,1676482972
mareeba,145.4333,-17.0,21.36,92,100,1.94,AU,1676482973
lebu,-73.65,-37.6167,17.75,68,7,9.34,CL,1676482973
baykit,96.37,61.67,-23.81,100,95,0.83,RU,1676482973
atherton,145.4833,-17.2667,18.85,99,100,2.68,AU,1676482974
alamosa,-105.87,37.4695,-9.01,79,100,10.29,US,1676482974
collie,116.15,-33.3667,10.14,94,17,1.16,AU,1676482974
lamtah,10.8833,35.6667,13.87,67,20,4.63,TN,1676482975
tomatlan,-105.25,19.9333,29.96,25,4,2.5,MX,1676482975
makakilo city,-158.0858,21.3469,19.18,83,20,3.6,US,1676482975
launceston,147.1667,-41.45,12.86,86,68,1.54,AU,1676482767
buritama,-50.1472,-21.0661,27.06,60,87,4.76,BR,1676482976
antofagasta,-70.4,-23.65,23.6,65,5,4.16,CL,1676482726
porto novo,-25.0647,17.0197,24.0,66,1,7.98,CV,1676482977
souillac,57.5167,-20.5167,26.21,73,20,1.54,MU,1676482977
merrill,-89.6835,45.1805,2.87,91,100,7.2,US,1676482977
leh,77.5833,34.1667,-13.3,68,3,1.65,IN,1676482978
ajaccio,8.9167,42.0,8.99,71,0,1.54,FR,1676482742
qarqin,66.0436,37.4185,12.86,67,100,6.77,AF,1676482979
koslan,48.8989,63.4564,-19.35,100,95,0.43,RU,1676482979
stavropol,41.9733,45.0428,-3.84,86,100,5.0,RU,1676482721
mpulungu,31.1141,-8.7623,23.35,76,58,0.8,ZM,1676482980
talnakh,88.3972,69.4865,-16.55,96,100,5.11,RU,1676482980
atbasar,68.3333,51.8,-20.69,99,19,2.23,KZ,1676482981
olafsvik,-23.7142,64.8945,2.11,86,97,9.01,IS,1676482982
fort nelson,-122.7002,58.8053,-16.7,80,100,0.89,CA,1676482982
adrar,-1.0,25.75,21.88,18,100,5.27,DZ,1676482982
innisfail,146.0333,-17.5333,24.1,92,100,1.35,AU,1676482983
peleduy,112.7406,59.6289,-13.67,97,100,2.27,RU,1676482983
mount gambier,140.7667,-37.8333,19.66,35,99,2.75,AU,1676482963
marhaura,84.8667,25.9667,16.96,44,0,1.66,IN,1676482985
mago,140.1822,53.2514,-31.85,100,75,0.41,RU,1676482985
kologriv,44.3178,58.8275,-12.25,98,99,1.94,RU,1676482986
bahia honda,-83.1592,22.9036,28.18,49,1,3.55,CU,1676482987
kerema,145.7785,-7.9631,26.01,78,100,4.0,PG,1676482987
yining,114.5636,29.0361,3.49,80,5,0.23,CN,1676482987
halifax,-63.5724,44.6453,3.52,72,45,1.79,CA,1676482840
hofn,-15.2082,64.2539,2.01,75,100,2.06,IS,1676482988
villa literno,14.0805,41.0099,12.41,84,0,2.57,IT,1676482891
liwale,37.9333,-9.7667,21.95,90,70,1.23,TZ,1676482989
ocosingo,-92.25,17.0667,29.25,31,0,1.59,MX,1676482989
maragogi,-35.2225,-9.0122,29.0,65,99,4.52,BR,1676482989
constantine,6.6147,36.365,11.67,43,0,1.03,DZ,1676482807
acari,-74.6158,-15.4311,27.87,70,100,4.81,PE,1676482990
sola,167.55,-13.8833,27.39,79,100,7.23,VU,1676482990
okhotsk,143.3,59.3833,-25.07,75,20,7.86,RU,1676482991
canon city,-105.2424,38.441,-4.61,87,100,6.69,US,1676482991
hanzhong,107.0303,33.0728,7.1,71,100,0.33,CN,1676482958
havre,-109.6841,48.55,-5.85,63,75,9.26,US,1676482992
sokoni,39.55,-6.4333,27.27,75,99,5.57,TZ,1676482992
namibe,12.1522,-15.1961,23.22,75,98,4.26,AO,1676482949
xining,101.7667,36.6167,-8.99,87,55,0.85,CN,1676482993
bayanday,105.5139,53.0661,-16.56,98,99,0.7,RU,1676482993
longyearbyen,15.6401,78.2186,-4.09,86,75,2.57,SJ,1676482993
chachapoyas,-77.869,-6.2317,17.91,80,95,1.24,PE,1676482995
nagato,131.2,34.3833,3.29,77,96,5.31,JP,1676482961
luangwa,30.4167,-15.6167,24.64,91,81,1.04,ZM,1676482995
calabozo,-67.4293,8.9242,32.84,41,97,4.0,VE,1676482996
tuatapere,167.6833,-46.1333,11.44,93,58,1.46,NZ,1676482996
perene,-75.2261,-10.9492,23.85,91,100,0.44,PE,1676482997
roma,148.7833,-26.5833,21.51,76,0,7.16,AU,1676482997
kismayo,42.5454,-0.3582,25.02,85,24,7.38,SO,1676482998
son la,103.9,21.3167,11.72,87,26,1.49,VN,1676482844
ixtapa,-105.2,20.7,23.57,57,0,1.03,MX,1676482999
aksarka,67.7975,66.5606,-20.35,99,91,2.26,RU,1676482999
ahuimanu,-157.8378,21.4447,19.84,94,20,3.6,US,1676483000
half moon bay,-122.4286,37.4636,11.16,43,0,5.66,US,1676483000
fare,-151.0167,-16.7,27.32,76,7,5.03,PF,1676483000
kavaratti,72.642,10.5669,26.55,73,3,2.9,IN,1676483001
saldanha,17.9442,-33.0117,22.03,84,0,12.13,ZA,1676483001
paso de los toros,-56.5167,-32.8167,33.41,22,0,1.77,UY,1676483001
powell,-83.0752,40.1578,20.17,48,20,10.8,US,1676483002
esperance,121.9,-33.8667,15.51,79,19,2.22,AU,1676483003
port hedland,118.5667,-20.3167,31.03,55,40,4.63,AU,1676483003
mahibadhoo,72.9667,3.7833,27.2,64,50,6.83,MV,1676483003
oistins,-59.5333,13.0667,26.05,69,75,7.2,BB,1676483004
chicama,-79.1469,-7.8447,23.3,60,99,3.49,PE,1676483005
oriximina,-55.8661,-1.7656,30.51,60,97,1.8,BR,1676483005
russkaya polyana,73.8806,53.7794,-23.41,100,88,2.63,RU,1676483006
belmonte,-38.8828,-15.8631,28.99,64,59,4.64,BR,1676483006
san cristobal,-89.6174,-0.9045,28.06,78,75,2.57,EC,1676483006
kamen-rybolov,132.0403,44.7481,-19.62,95,8,2.26,RU,1676483007
pafos,32.4167,34.7667,10.88,66,40,3.09,CY,1676483007
synya,58.0387,65.3718,-19.08,100,100,1.78,RU,1676483007
nenjiang,125.2167,49.1833,-17.19,95,100,2.14,CN,1676483008
manaus,-60.025,-3.1019,30.28,74,75,3.09,BR,1676483008
lishui,119.9103,28.4604,3.32,79,1,1.17,CN,1676483008
san ramon de la nueva oran,-64.326,-23.1322,35.24,25,91,2.39,AR,1676483009
santiago,-77.0045,1.1484,18.96,83,82,1.8,CO,1676483009
simbahan,120.5836,6.3032,26.84,81,98,8.32,PH,1676483010
srivardhan,73.0167,18.0333,24.44,43,2,1.81,IN,1676482938
pozo colorado,-58.7972,-23.4923,33.16,49,100,2.85,PY,1676483010
seka,103.9552,17.9285,17.01,73,3,2.71,TH,1676482961
cabra,120.0494,13.8883,25.91,74,90,13.24,PH,1676483011
nouadhibou,-17.0347,20.931,21.99,64,0,9.26,MR,1676482943
esso,158.7,55.9333,-12.5,87,100,7.91,RU,1676483012
lulea,22.1547,65.5842,-4.96,100,100,0.0,SE,1676482713
saint-augustin,-58.6502,51.226,-4.69,86,28,5.43,CA,1676483013
wewak,143.6268,-3.5534,24.64,92,100,2.83,PG,1676483013
ulladulla,150.4667,-35.35,17.46,88,100,1.46,AU,1676482869
